ID$,SHAPE$,LEFT$,TOP$,RIGHT$,BOTTOM$,名称,所在地,ひとくちメモ,郵便番号,利用時間,URL,写真URL,備考,電話番号,FAX番号,EMAIL,開館時間,開催期間,収容台数,一時利用料,一時利用_1,月極利用料,月極利用_1,月極利用_2,月極利用_4
2,1135.38620771828734.4486502693608,135.386207718287,34.4486502693608,135.386207718287,34.4486502693608,東岸和田市民センター,岸和田市土生町４丁目３番１号（リハーブ内３～５階）,,5960825,,http://www.city.kishiwada.osaka.jp/soshiki/22/,,,072-428-6711,072-428-0711,,午前9時～午後5時30分,,,,,,,,
3,1135.43106368846334.4522752376051,135.431063688463,34.4522752376051,135.431063688463,34.4522752376051,山直市民センター,岸和田市三田町715番1号,,5960808,,http://www.city.kishiwada.osaka.jp/soshiki/23/,http://www.city.kishiwada.osaka.jp/uploaded/life/1570_2015_img.jpg,,072-441-1451,072-441-3844,,午前9時から午後5時30分,,,,,,,,
4,1135.39235917536834.4787364025487,135.392359175368,34.4787364025487,135.392359175368,34.4787364025487,春木市民センター,岸和田市春木若松町21番1号,,5960006,,http://www.city.kishiwada.osaka.jp/soshiki/24/,http://www.city.kishiwada.osaka.jp/uploaded/image/1523.jpg,,072-436-4500,072-436-0678,,午前9時～午後5時30分,,,,,,,,
5,1135.43806673944634.4120581782118,135.438066739446,34.4120581782118,135.438066739446,34.4120581782118,山滝支所,岸和田市内畑町1033番,,,,http://www.city.kishiwada.osaka.jp/soshiki/21/syomeisyo06.html,,,072-479-0001,,,午前9時00分から午後5時30分まで,,,,,,,,
7,1135.38362819755534.4891458535016,135.383628197555,34.4891458535016,135.383628197555,34.4891458535016,下水道施設課,岸和田市磯上町3丁目4番1号,,,,http://www.city.kishiwada.osaka.jp/soshiki/61/,,,072-439-4333～4,,,,,,,,,,,
9,1135.39235943440834.4710155032384,135.392359434408,34.4710155032384,135.392359434408,34.4710155032384,女性センター,岸和田市加守町4丁目28番地25,南海本線春木駅下車、東(山側)へ徒歩10分）,5960042,,http://www.city.kishiwada.osaka.jp/soshiki/20/,http://www.city.kishiwada.osaka.jp/uploaded/image/1490.gif,,072-441-2535（事務所）,072-441-2536,,,,,,,,,,
10,1135.37200742770934.4604341283937,135.372007427709,34.4604341283937,135.372007427709,34.4604341283937,職員会館,岸和田市岸城町5番8号,,,,,,,072-423-2121,,,,,,,,,,,
11,1135.37827401818434.4515348594665,135.378274018184,34.4515348594665,135.378274018184,34.4515348594665,環境保全課,岸和田市土生町二丁目4番30号　岸和田市環境事務所,,5960825,,http://www.city.kishiwada.osaka.jp/soshiki/28/,,* Tel：072-423-9461（環境保全課代表）<BR>    * Tel：072-423-9462（自然環境担当）<BR>    * Tel：072-423-9462（事業所指導担当）<BR>    * Tel：072-423-9462（温暖化対策担当）<BR>    * Tel：072-423-9463（環境政策担当）,,072-436-0418,,,,,,,,,,
12,1135.3787700078934.4514945528553,135.37877000789,34.4514945528553,135.37877000789,34.4514945528553,生活環境課,岸和田市土生町二丁目4番30号　岸和田市環境事務所,,5960825,,http://www.city.kishiwada.osaka.jp/soshiki/29/,,* Tel：072-423-9439（管理担当）<BR>    * Tel：072-423-9444（地域美化担当）<BR>    * Tel：072-433-0053（粗大ごみ担当）<BR>    * Tel：072-423-1461（収集業務担当）<BR>    * Tel：072-423-9465（ごみ減量・リサイクル担当）,,072-436-0418,,,,,,,,,,
13,1135.39465548873834.4537969584491,135.394655488738,34.4537969584491,135.394655488738,34.4537969584491,桜台市民センター,岸和田市下松町813番地,,5960823,,http://www.city.kishiwada.osaka.jp/soshiki/107/,,,072-428-9229,,,午前9時～午後5時30分,,,,,,,,
14,1135.41252911685734.4634244216137,135.412529116857,34.4634244216137,135.412529116857,34.4634244216137,八木市民センター,岸和田市池尻町339番地の2,,5960813,,http://www.city.kishiwada.osaka.jp/soshiki/106/,,,072-443-6848,,,午前9時～午後5時30分,,,,,,,,
501,1135.43896853030334.3897959335839,135.438968530303,34.3897959335839,135.438968530303,34.3897959335839,大沢町駐在所,,,,,,,,,,,,,,,,,,,
502,1135.43876357591934.4104030890113,135.438763575919,34.4104030890113,135.438763575919,34.4104030890113,内畑駐在所,,,,,,,,,,,,,,,,,,,
503,1135.43809897860734.4367260851795,135.438098978607,34.4367260851795,135.438098978607,34.4367260851795,山直上駐在所,,,,,,,,,,,,,,,,,,,
504,1135.41371280634134.4390169311362,135.413712806341,34.4390169311362,135.413712806341,34.4390169311362,尾生駐在所,,,,,,,,,,,,,,,,,,,
505,1135.40931553365934.4243612315037,135.409315533659,34.4243612315037,135.409315533659,34.4243612315037,有真香駐在所,,,,,,,,,,,,,,,,,,,
506,1135.41499522912834.4055866059139,135.414995229128,34.4055866059139,135.414995229128,34.4055866059139,東葛城駐在所,,,,,,,,,,,,,,,,,,,
507,1135.42632672303634.4605134427293,135.426326723036,34.4605134427293,135.426326723036,34.4605134427293,山直下交番,,,,,,,,,,,,,,,,,,,
508,1135.40591661783134.4659962226584,135.405916617831,34.4659962226584,135.405916617831,34.4659962226584,久米田駅前交番,,,,,,,,,,,,,,,,,,,
509,1135.38822221542134.444328592248,135.388222215421,34.444328592248,135.388222215421,34.444328592248,土生交番,,,,,,,,,,,,,,,,,,,
510,1135.3961873319634.4554864366965,135.39618733196,34.4554864366965,135.39618733196,34.4554864366965,下松交番,,,,,,,,,,,,,,,,,,,
511,1135.39943516888634.4819216883579,135.399435168886,34.4819216883579,135.399435168886,34.4819216883579,吉井町交番,,,,,,,,,,,,,,,,,,,
512,1135.39211147246434.4700545849053,135.392111472464,34.4700545849053,135.392111472464,34.4700545849053,中央公園交番,,,,,,,,,,,,,,,,,,,
513,1135.38449853763434.4555466448828,135.384498537634,34.4555466448828,135.384498537634,34.4555466448828,岸和田警察署,岸和田市作才町1丁目1番36号,,,,,,,072-439-1234,,,,,,,,,,,
514,1135.36973459337734.456272029691,135.369734593377,34.456272029691,135.369734593377,34.456272029691,蛸地蔵駅前交番,,,,,,,,,,,,,,,,,,,
515,1135.36974269461934.4612042667426,135.369742694619,34.4612042667426,135.369742694619,34.4612042667426,本町交番,,,,,,,,,,,,,,,,,,,
516,1135.3768436552634.4593901194294,135.37684365526,34.4593901194294,135.37684365526,34.4593901194294,岸和田駅前交番,,,,,,,,,,,,,,,,,,,
517,1135.37802537837334.4708001440922,135.378025378373,34.4708001440922,135.378025378373,34.4708001440922,下野町交番,,,,,,,,,,,,,,,,,,,
518,1135.383828156934.4793006584033,135.3838281569,34.4793006584033,135.3838281569,34.4793006584033,春木町交番,,,,,,,,,,,,,,,,,,,
